,x,y
0,0,-11.851627682397954
1,1,-12.105617450148197
2,2,-11.846645806294005
3,3,-12.254885200783344
4,4,-11.872140066221451
5,5,-12.120578427382275
6,6,-12.217344882024085
7,7,-12.267187570636118
8,8,-12.020462959124742
9,9,-11.830346314921943
10,10,-12.103073381843824
11,11,-12.027264199628053
12,12,-11.978236360046145
13,13,-12.587008835133187
14,14,-12.314342484457173
15,15,-11.956709567410048
16,16,-11.970339299125637
17,17,-12.162850004219479
18,18,-12.301838771200112
19,19,-12.008362544371664
20,20,-12.292176349680698
21,21,-12.23483856393693
22,22,-11.828760420498766
23,23,-12.146137894690645
24,24,-11.928609112008791
25,25,-12.097389285695098
26,26,-11.873041114771489
27,27,-12.208725847386996
28,28,-12.052116950715476
29,29,-12.419311622558682
30,30,-12.252886874295017
31,31,-11.842439580657041
32,32,-11.907986821170445
33,33,-11.975942769823172
34,34,-12.355178128199022
35,35,-12.300560547923823
36,36,-12.255093947282926
37,37,-12.158671367374696
38,38,-12.299805025550999
39,39,-12.293478606795006
40,40,-12.04463214751717
41,41,-12.131853862155623
42,42,-12.341856833325659
43,43,-11.948386618054066
44,44,-12.601518779453118
45,45,-12.088638640046298
46,46,-12.268273895155147
47,47,-11.809008083175494
48,48,-12.286984010733134
49,49,-12.301916400262607
50,50,-12.538780469385197
51,51,-12.419247139169213
52,52,-11.819123736096957
53,53,-12.483427987570686
54,54,-11.921338096210128
55,55,-12.095150237211604
56,56,-12.28418928189471
57,57,-12.020032189418504
58,58,-12.250351404653225
59,59,-11.810085717378113
60,60,-11.825285283896376
61,61,-11.98329010486325
62,62,-12.011861292869801
63,63,-12.273960104270515
64,64,-12.34304158286893
65,65,-11.868850618214122
66,66,-11.797253457834733
67,67,-11.834036488946952
68,68,-12.130692486786806
69,69,-12.423730824532912
70,70,-12.205163561633361
71,71,-12.208992739889359
72,72,-12.082443313161324
73,73,-11.914248708506321
74,74,-11.994458038707771
75,75,-12.65922825169248
76,76,-11.96386803654924
77,77,-12.246930125069694
78,78,-11.93693117508044
79,79,-11.97812392148483
80,80,-12.140107754934094
81,81,-12.009488595009527
82,82,-12.03414299263705
83,83,-11.80451061486687
84,84,-11.813478476214824
85,85,-12.04394277489106
86,86,-12.41734393812558
87,87,-12.416137346533306
88,88,-12.181392690707797
89,89,-12.134984028703384
90,90,-11.942848344631352
91,91,-11.97739419453484
92,92,-12.004771060540989
93,93,-11.847781052565972
94,94,-11.932392426070848
95,95,-12.051467297067
96,96,-11.90057378984595
97,97,-12.564836604558321
98,98,-12.656895621419277
99,99,-12.014016556694678
